,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5111,Terre di Cariano Riserva Amarone della Valpolicella Classico ,4.5,Amarone della Valpolicella Classico,2011,257.19 ,269,178.0,0.822923,0.215137,0.46950000000000003,0.19223800000000002,Cecilia Beretta,bold,smooth,sweet,soft,Veneto,North,North-east
5112,Amarone della Valpolicella ,4.5,Amarone della Valpolicella,2011,495 ,269,342.0,0.825,0.210877,0.488761,0.231257,Marion,bold,smooth,sweet,semi soft,Veneto,North,North-east
5113,Montepulciano d'Abruzzo ,3.6,Montepulciano d'Abruzzo,2011,70.76 ,1644,1903.0,0.31939999999999996,0.384383,0.0,0.634791,Masciarelli,light,semi smooth,dry,acidic,Abruzzo,East,East
5114,Amarone della Valpolicella ,4.2,Amarone della Valpolicella,2011,749 ,1570,1190.0,0.825,0.21895399999999998,0.477492,0.202708,Tedeschi,bold,smooth,sweet,soft,Veneto,North,North-east
5115,Es Primitivo di Manduria ,4.5,Primitivo di Manduria,2011,399 ,224,573.0,0.666797,0.220115,0.42403799999999997,0.103952,Gianfranco Fino,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
5116,Pagliaro Montefalco Sagrantino Secco ,4.5,Montefalco Sagrantino,2011,596.60 ,286,503.0,0.518817,0.46096899999999996,0.087336,0.427174,Paolo Bea,semi light,semi tannic,dry,semi acidic,Umbria,Central,Central
5117,Calcarole Amarone della Valpolicella Classico ,4.5,Amarone della Valpolicella Classico,2011,650 ,288,386.0,0.804721,0.189917,0.520415,0.20143799999999998,Guerrieri Rizzardi,bold,smooth,sweet,soft,Veneto,North,North-east
5118,Lambrusco Emilia ,3.8,Emilia,2011,32.97 ,1566,1146.0,0.588558,0.34741,0.426479,0.183873,Riunite,semi bold,semi smooth,semi sweet,soft,Emilia Romagna,North,North
5119,Neprica ,3.6,Puglia,2011,109 ,1554,1151.0,0.825,0.364514,0.229121,0.21399,Tormaresca,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
5120,Rafaèl Valpolicella Classico Superiore ,3.8,Valpolicella Classico,2011,139 ,1547,1450.0,0.412249,0.258937,0.14338599999999999,0.524678,Tommasi,semi light,smooth,dry,semi acidic,Veneto,North,North-east
5121,Barolo Riserva ,4.2,Barolo,2011,935.17 ,568,1860.0,0.594561,0.736314,0.0342709,0.8185129999999999,Borgogno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5122,Terragnolo Primitivo Salento ,4.1,Salento,2011,125 ,1545,402.0,0.6643370000000001,0.200617,0.403301,0.089899,Apollonio,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
5123,Vitiano Rosso ,3.4,Umbria,2011,52.07 ,1545,897.0,0.426482,0.359238,0.0467035,0.428199,Falesco,semi light,semi smooth,dry,semi acidic,Umbria,Central,Central
5124,Amarone della Valpolicella Vigna Garzon ,4.5,Amarone della Valpolicella,2011,323.79 ,309,321.0,0.825,0.19881000000000001,0.47482100000000005,0.21558700000000003,Pieropan,bold,smooth,sweet,semi soft,Veneto,North,North-east
5125,Brunello di Montalcino ,4.5,Brunello di Montalcino,2011,1599 ,310,571.0,0.468312,0.557556,0.127251,0.6056360000000001,Salvioni,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5126,Brunello di Montalcino ,4.5,Brunello di Montalcino,2011,1395 ,556,796.0,0.41120399999999996,0.535942,0.0532332,0.6137250000000001,Poggio di Sotto,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5127,Chianti Classico ,3.4,Chianti Classico,2011,103.62 ,1629,1068.0,0.40781100000000003,0.5520109999999999,0.0,0.641406,Castello di Gabbiano,semi light,semi tannic,dry,acidic,Toscana,North,North-west
