,price,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
282,552.74 kr.,52.7951,61.4171,8.20732,63.1951,14.5,,,La Rasina
283,300 kr.,85,35.2806,42.0663,25.4133,,,,Corte Aleardi
284,400 kr.,52.7289,46.1615,3.37486,46.5003,,,,Argiano
285,722.66 kr.,65.2377,40.509,21.5689,26.7881,,,,Coppo
286,279.03 kr.,57.8499,48.9673,7.05872,49.9183,,,,Terre Margaritelli
287,812.74 kr.,47.1985,51.9973,12.2291,64.3909,,,,San Felice
288,541.37 kr.,51.1554,62.3826,5.66924,62.0968,,,,Camigliano
289,353.73 kr.,82.8239,40.9273,29.0386,36.5125,,,,Corte Figaretto
290,435.74 kr.,64.0095,77.0652,7.05006,76.8846,,,,Luigi Baudana
291,1443.53 kr.,42.6233,55.9885,3.56098,64.6877,14.5,,,Isole e Olena
292,1700 kr.,61.3749,76.1638,13.6468,83.7053,,,,Vietti
293,1773.13 kr.,83.0869,24.42,47.4723,24.4283,,,,Speri
294,47.43 kr.,59.8553,32.3289,31.6842,19.3947,,,,Ristorante Pie Nie
295,804.44 kr.,64.4085,79.9771,9.94904,82.9809,,,,Aldo Conterno
296,177.06 kr.,67.9324,40.3942,34.6149,17.6757,,,,San Giulio
297,250 kr.,65.7268,37.8657,39.6759,22.875,,,,Fattoria Cabanon
298,145.70 kr.,70.1454,28.3449,24.244,31.1178,,,,Recchia
299,320 kr.,65.7949,67.0158,3.36408,67.9903,,,,Lodali
300,175.97 kr.,55,16.9,0,60,,,,Nizza Silvano
301,369.24 kr.,66.75,85,0,85,,,,Wongraven
302,753.97 kr.,72.1776,44.9508,29.2678,36.7801,,,,Spadafora
303,8542.50 kr.,51.7727,34.6727,7.62727,37.0727,13.5,,,Antinori
304,213.01 kr.,64.6351,17.5,40.7586,10.0431,,,,Attanasio
305,1750 kr.,82.4707,42.0506,20.6522,33.3888,,,,Frank Cornelissen
306,742.06 kr.,62.7792,74.1833,0,79.7707,,,,Oddero
307,2472.50 kr.,61.2323,85,1.36384,85,,,,Gaja
308,127.03 kr.,51.3182,36.0477,9.19091,51.7432,,,,I Tamasotti
309,510.54 kr.,41.5926,30.6829,1.46759,44.2894,,,,Tenuta Casanova
310,994.05 kr.,69.2548,84.7656,0,85,,,,Gaja
311,300 kr.,85,16.7152,50.0902,20.5142,,,,Accordini
312,123.89 kr.,68.1025,26.2578,42.0295,15.6065,,,,Emera
313,675.96 kr.,60.8472,68.8363,4.67265,84.0392,,,,Marchesi di Gresy
314,550 kr.,62.4303,78.3166,6.0836,84.2319,14.5,,,Luigi Einaudi
315,238.62 kr.,84.9768,45.1572,14.3879,35.1727,,,,Barone di Serramarrocco
316,375 kr.,65.917,36.4956,18.8562,25.5727,,,,Marion
317,1830.57 kr.,85,21.7377,50.6821,21.3827,,,,El Pendola
318,700.16 kr.,51.6499,36.9315,18.8494,42.9193,,,,Podere Forte
319,1156.39 kr.,77.2581,16.815,45.6634,25.7861,,,,Musella
320,211.62 kr.,76.7384,48.1782,7.22917,43.2107,,,,Alberto Serenelli
321,378.10 kr.,68.207,44.9126,21.8374,23.8957,,,,Peter Sölva
322,635.29 kr.,54.5575,43.6242,12.8375,46.3619,14,,,La Massa
323,304.94 kr.,46.2288,57.2219,6.46546,62.7418,,,,Villa I Cipressi
324,334.52 kr.,62.3645,38.6084,30.3881,27.222,,,,Le Vigne di San Pietro
325,169 kr.,45.2268,41.744,4.40121,44.813,,,,Cantina Vignaioli del Morellino di Scansano
326,249 kr.,72.3095,38.0655,28.4505,30.3388,,,,Farnese
327,532.66 kr.,50.3312,80.2511,0,82.8896,,,,E. Molino
328,462.52 kr.,40.3264,54.4479,0,68.099,,,,Il Paradiso di Frassina
329,66.60 kr.,36.3159,31.4731,23.4771,50.8495,,,,Fratelli Vogadori
330,587.54 kr.,63.5369,76.3347,7.19226,82.9828,,,,Damilano
331,493.84 kr.,65.1632,75.8395,10.9284,83.9059,,,,Elio Grasso
332,277.26 kr.,55.7457,42.8772,34.4543,45.279,,,,Cantina Zaccagnini
333,184.81 kr.,52.2677,35.6098,0,44.0189,,,,Villa La Ripa
334,288 kr.,66.7,48.3902,15.7357,35.0229,,,,La Stoppa
335,599 kr.,56.6898,43.4526,26.104,50.4361,,,,Cà dei Conti
336,659.43 kr.,64.7328,37.6092,16.2155,25.0144,,,,Moletto
337,459 kr.,85,23.5834,49.9423,22.2667,,,,Stefano Accordini
338,94.31 kr.,61.9962,56.7125,5.24327,46.0567,,,,Cantine Rialto
339,213.15 kr.,42.5,42.5,0,40.86,,,,Castello del Terriccio
340,445 kr.,85,22.9605,48.5944,23.7923,,,,Buglioni
341,758.84 kr.,67.8142,66.9257,0,85,,,,Natale Verga
342,423.25 kr.,68.9828,37.8329,29.5,25.9717,,,,Garbole
343,625 kr.,85,22.383,33.0213,20.2287,,,,Corte San Benedetto
